Categoria,Frequência Absoluta,Frequência Relativa (%),Frequência Absoluta Acumulada,Frequência Relativa Acumulada (%)
17,5,7.937,5,7.937
18,15,23.81,20,31.747
19,12,19.048,32,50.795
20,12,19.048,44,69.843
21,9,14.286,53,84.129
22,2,3.175,55,87.304
23,1,1.587,56,88.891
24,1,1.587,57,90.478
25,2,3.175,59,93.653
34,1,1.587,60,95.24
45,1,1.587,61,96.827
60,1,1.587,62,98.414
87,1,1.587,63,100.001
TOTAL,63,100.0,---------,---------
