Categoria,Frequência Absoluta,Frequência Relativa (%),Frequência Absoluta Acumulada,Frequência Relativa Acumulada (%)
1.0,9,15.254,9,15.254
2.0,13,22.034,22,37.288
3.0,15,25.424,37,62.712
4.0,22,37.288,59,100.0
TOTAL,59,100.0,---------,---------
