Categoria,Frequência Absoluta,Frequência Relativa (%),Frequência Absoluta Acumulada,Frequência Relativa Acumulada (%)
1.0,3,6.25,3,6.25
2.0,3,6.25,6,12.5
3.0,14,29.167,20,41.667
4.0,28,58.333,48,100.0
TOTAL,48,100.0,---------,---------
