Categoria,Frequência Absoluta,Frequência Relativa (%),Frequência Absoluta Acumulada,Frequência Relativa Acumulada (%)
1,1,1.587,1,1.587
2,7,11.111,8,12.698
3,21,33.333,29,46.031
4,34,53.968,63,99.999
TOTAL,63,100.0,---------,---------
