Categoria,Frequência Absoluta,Frequência Relativa (%),Frequência Absoluta Acumulada,Frequência Relativa Acumulada (%)
1,4,6.349,4,6.349
2,6,9.524,10,15.873
3,6,9.524,16,25.397
4,7,11.111,23,36.508
5,9,14.286,32,50.794
6,5,7.937,37,58.731
7,11,17.46,48,76.191
8,10,15.873,58,92.064
9,3,4.762,61,96.826
10,2,3.175,63,100.001
TOTAL,63,100.0,---------,---------
