Categoria,Frequência Absoluta,Frequência Relativa (%),Frequência Absoluta Acumulada,Frequência Relativa Acumulada (%)
1.0,1,1.639,1,1.639
2.0,1,1.639,2,3.278
3.0,17,27.869,19,31.147
4.0,42,68.852,61,99.999
TOTAL,61,100.0,---------,---------
